"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.178871859E2,4.300340461E1,-7.879048285E1,1.777439116E2,1.430295700E2,1.459283845E0,8.952289420E1,1.595215618E-1,4.726773194E0,3.388532456E0,-1.000000000E0
1.188871890E2,4.300340482E1,-7.879046524E1,1.778439021E2,1.431295645E2,1.459369999E0,9.192237213E1,1.611202993E-1,4.726357665E0,3.389112015E0,-1.000000000E0
1.198871921E2,4.300340446E1,-7.879044558E1,1.777544703E2,1.430401383E2,1.452105999E0,9.281048260E1,1.625745825E-1,4.725616625E0,3.390145211E0,-1.000000000E0
1.208871964E2,4.300340322E1,-7.879042778E1,1.775822977E2,1.428679724E2,1.448085010E0,9.324841877E1,1.640571676E-1,4.726799079E0,3.388496348E0,-1.000000000E0
1.218871994E2,4.300340272E1,-7.879040956E1,1.774646313E2,1.427503114E2,1.451177088E0,9.109885280E1,1.654899121E-1,4.725933293E0,3.389703754E0,-1.000000000E0
1.228872032E2,4.300340373E1,-7.879039200E1,1.773702852E2,1.426559679E2,1.441067830E0,8.902882103E1,1.670119864E-1,4.723759433E0,3.392732505E0,-1.000000000E0
1.238872064E2,4.300340180E1,-7.879037347E1,1.774482831E2,1.427339740E2,1.461917881E0,9.341513515E1,1.684563229E-1,4.725827212E0,3.389851649E0,-1.000000000E0
1.248872101E2,4.300340198E1,-7.879035571E1,1.771739896E2,1.424596846E2,1.450072533E0,9.341071968E1,1.698454446E-1,4.724421524E0,3.391810475E0,-1.000000000E0
1.258872164E2,4.300340353E1,-7.879033876E1,1.773193261E2,1.426050225E2,1.436134891E0,8.768469282E1,1.713179923E-1,4.725007310E0,3.390994391E0,-1.000000000E0
1.268872173E2,4.300340418E1,-7.879032067E1,1.772805070E2,1.425662068E2,1.446625129E0,8.905198402E1,1.726326285E-1,4.725791603E0,3.389901290E0,-1.000000000E0
1.278872198E2,4.300340345E1,-7.879030453E1,1.772917220E2,1.425774272E2,1.438898379E0,9.101863601E1,1.742115292E-1,4.725810431E0,3.389875043E0,-1.000000000E0
1.288872241E2,4.300340399E1,-7.879028513E1,1.772833269E2,1.425690360E2,1.450797926E0,8.958002710E1,1.756693670E-1,4.723527323E0,3.393055653E0,-1.000000000E0
1.298872273E2,4.300340411E1,-7.879026720E1,1.771976709E2,1.424833843E2,1.449083822E0,9.068023648E1,1.771633009E-1,4.723892532E0,3.392547181E0,-1.000000000E0
1.308872309E2,4.300340538E1,-7.879024892E1,1.773187376E2,1.426044533E2,1.458224139E0,8.806009059E1,1.786546234E-1,4.723696517E0,3.392820102E0,-1.000000000E0
1.318872337E2,4.300340658E1,-7.879023065E1,1.772177630E2,1.425034811E2,1.451960851E0,8.721580650E1,1.797027863E-1,4.723464171E0,3.393143566E0,-1.000000000E0
1.328872380E2,4.300340721E1,-7.879021779E1,1.773234356E2,1.426091557E2,1.146214734E0,8.606490057E1,1.818787489E-1,4.723426932E0,3.393195404E0,-1.000000000E0
1.338872409E2,4.300340817E1,-7.879019106E1,1.774239005E2,1.427096256E2,1.702798547E0,8.583704854E1,1.825913520E-1,4.724431982E0,3.391795908E0,-1.000000000E0
1.348872447E2,4.300340792E1,-7.879018231E1,1.773316047E2,1.426173325E2,1.082705635E0,8.421062616E1,1.844160927E-1,4.722775482E0,3.394102059E0,-1.000000000E0
1.358872483E2,4.300341281E1,-7.879016089E1,1.771476077E2,1.424333320E2,1.425612733E0,7.710849532E1,1.856893617E-1,4.723473435E0,3.393130670E0,-1.000000000E0
1.368872513E2,4.300342119E1,-7.879015021E1,1.775958026E2,1.428815145E2,1.109860979E0,5.903900929E1,1.876332399E-1,4.724117238E0,3.392234272E0,-1.000000000E0
1.378872550E2,4.300343835E1,-7.879014567E1,1.774343768E2,1.427200589E2,1.356525699E0,2.967434945E1,1.895197811E-1,4.726647738E0,3.388707452E0,-1.000000000E0
1.388872578E2,4.300345529E1,-7.879014714E1,1.774401079E2,1.427257591E2,1.479253937E0,1.011509761E1,1.905157706E-1,4.726348118E0,3.389125330E0,-1.000000000E0
1.398872621E2,4.300346408E1,-7.879014950E1,1.774764190E2,1.427620537E2,1.121717530E0,1.585620043E0,1.923501206E-1,4.720076147E0,3.397854941E0,-1.000000000E0
1.408872654E2,4.300348057E1,-7.879015014E1,1.775485398E2,1.428341446E2,1.569976237E0,3.590998276E2,1.931322646E-1,4.726732448E0,3.388589294E0,-1.000000000E0
1.418872682E2,4.300348752E1,-7.879014869E1,1.777398903E2,1.430254829E2,1.099309931E0,1.984297667E0,1.948564667E-1,4.719136479E0,3.399159885E0,-1.000000000E0
1.428872722E2,4.300350295E1,-7.879014664E1,1.778996337E2,1.431851991E2,1.479953186E0,3.384081218E0,1.958651398E-1,4.724313367E0,3.391961120E0,-1.000000000E0
1.438872753E2,4.300351201E1,-7.879014592E1,1.775068779E2,1.427924271E2,1.114530757E0,3.838662508E0,1.975461273E-1,4.714904618E0,3.405027382E0,-1.000000000E0
1.448872788E2,4.300352710E1,-7.879014466E1,1.775332449E2,1.428187671E2,1.474154355E0,2.238732387E0,1.984820130E-1,4.719856401E0,3.398160177E0,-1.000000000E0
1.458876774E2,4.300353535E1,-7.879014690E1,1.777176174E2,1.430031242E2,1.106986596E0,3.587329400E2,2.000044096E-1,4.714794995E0,3.405179172E0,-1.000000000E0
1.468876828E2,4.300354900E1,-7.879014535E1,1.784373906E2,1.437228732E2,1.369006186E0,3.587852305E2,2.011105346E-1,4.719876671E0,3.398132022E0,-1.000000000E0
1.478876740E2,4.300355884E1,-7.879014731E1,1.779449191E2,1.432303834E2,1.105751182E0,3.552509473E2,2.029080010E-1,4.716401693E0,3.402953438E0,-1.000000000E0
1.488876631E2,4.300357500E1,-7.879014667E1,1.777058286E2,1.429912640E2,1.496952282E0,3.584258989E2,2.037626796E-1,4.721245336E0,3.396230191E0,-1.000000000E0
