"Time (s)","Latitude (Â°)","Longitude (Â°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (Â°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.009825443E2,4.293739008E1,-7.888533436E1,1.785097024E2,1.439342511E2,1.885731288E1,2.683682769E2,1.819476693E0,4.766157777E0,3.332908201E0,-1.000000000E0
1.019825393E2,4.293737700E1,-7.888555874E1,1.774942420E2,1.429187588E2,1.859749392E1,2.674634862E2,1.837730716E0,4.763826316E0,3.336239779E0,-1.000000000E0
1.029825350E2,4.293737089E1,-7.888578282E1,1.776726824E2,1.430971499E2,1.846664165E1,2.684743798E2,1.855815701E0,4.760903106E0,3.340409952E0,-1.000000000E0
1.039825311E2,4.293736561E1,-7.888600486E1,1.771701113E2,1.425945281E2,1.830460239E1,2.684792601E2,1.873387912E0,4.764366849E0,3.335467817E0,-1.000000000E0
1.049825268E2,4.293735826E1,-7.888622048E1,1.771393513E2,1.425637244E2,1.795614554E1,2.684208984E2,1.891054952E0,4.762098992E0,3.338704872E0,-1.000000000E0
1.059825226E2,4.293735434E1,-7.888643744E1,1.773976517E2,1.428219721E2,1.778071157E1,2.683524711E2,1.908206448E0,4.764725623E0,3.334955287E0,-1.000000000E0
1.069825180E2,4.293734477E1,-7.888664773E1,1.771971846E2,1.426214683E2,1.739701040E1,2.678023450E2,1.925303335E0,4.765871501E0,3.333317547E0,-1.000000000E0
1.079825137E2,4.293733202E1,-7.888685703E1,1.773218540E2,1.427461093E2,1.725020555E1,2.658776691E2,1.943110603E0,4.765695751E0,3.333568814E0,-1.000000000E0
1.089825085E2,4.293730270E1,-7.888707208E1,1.778469924E2,1.432712591E2,1.744086389E1,2.617633132E2,1.959936844E0,4.763190281E0,3.337147792E0,-1.000000000E0
1.099825046E2,4.293726556E1,-7.888727245E1,1.774624426E2,1.428867444E2,1.719321981E1,2.579812232E2,1.976883983E0,4.759745806E0,3.342058781E0,-1.000000000E0
