"Time (s)","Pressure (hPa)"
4.230164849E1,1.000554321E3
4.234166167E1,1.000505249E3
4.238166177E1,1.000503052E3
4.242165932E1,1.000492920E3
4.246167266E1,1.000471191E3
4.250166458E1,1.000460876E3
4.254165266E1,1.000475586E3
4.258166146E1,1.000517578E3
4.262165375E1,1.000539795E3
4.266165687E1,1.000535583E3
4.270166437E1,1.000514954E3
4.274165229E1,1.000510437E3
4.278165479E1,1.000558411E3
4.282166958E1,1.000538208E3
4.286165104E1,1.000541382E3
4.290166354E1,1.000539307E3
4.294165083E1,1.000510254E3
4.298165640E1,1.000506531E3
4.302165875E1,1.000523560E3
4.306165640E1,1.000536194E3
4.310164958E1,1.000532898E3
4.314165458E1,1.000549316E3
4.318163750E1,1.000549927E3
4.322162333E1,1.000581360E3
4.326163073E1,1.000567139E3
4.330163312E1,1.000537781E3
4.334163375E1,1.000537781E3
4.338164927E1,1.000534302E3
4.342163437E1,1.000539612E3
4.346163896E1,1.000534973E3
4.350163979E1,1.000506042E3
4.354162906E1,1.000518066E3
4.358163198E1,1.000525391E3
4.362163219E1,1.000559814E3
4.366163135E1,1.000539917E3
4.370162875E1,1.000538391E3
4.374162958E1,1.000536682E3
4.378163698E1,1.000555237E3
4.382163000E1,1.000547913E3
4.386162823E1,1.000528381E3
4.390163557E1,1.000520569E3
4.394163021E1,1.000543701E3
4.398163333E1,1.000494019E3
4.402162890E1,1.000491638E3
4.406162885E1,1.000523560E3
4.410162432E1,1.000519165E3
4.414162349E1,1.000510559E3
4.418162125E1,1.000518982E3
4.422163073E1,1.000541016E3
4.426163167E1,1.000556335E3
4.430162479E1,1.000565857E3
4.434164250E1,1.000550903E3
4.438163333E1,1.000514771E3
4.442164042E1,1.000515259E3
4.446162646E1,1.000555725E3
4.450163594E1,1.000545410E3
4.454162552E1,1.000533875E3
4.458163906E1,1.000511841E3
4.462164292E1,1.000543823E3
4.466162302E1,1.000548706E3
4.470162849E1,1.000545105E3
4.474162458E1,1.000537109E3
4.478164094E1,1.000565857E3
4.482163875E1,1.000591797E3
4.486163500E1,1.000547607E3
4.490162833E1,1.000529663E3
4.494162406E1,1.000551331E3
4.498162823E1,1.000482422E3
4.502162500E1,1.000385742E3
4.506163010E1,1.000449463E3
4.510162140E1,1.000477112E3
4.514163365E1,1.000526794E3
4.518162432E1,1.000543396E3
4.522162687E1,1.000584473E3
4.526163490E1,1.000586792E3
4.530163125E1,1.000630432E3
4.534162927E1,1.000588379E3
4.538164312E1,1.000564941E3
4.542163432E1,1.000560730E3
4.546162500E1,1.000567627E3
4.550163260E1,1.000543091E3
4.554163391E1,1.000518066E3
4.558163490E1,1.000521484E3
4.562162364E1,1.000542114E3
4.566164312E1,1.000568848E3
4.570162760E1,1.000567627E3
4.574164417E1,1.000572449E3
4.578164073E1,1.000554138E3
4.582164823E1,1.000558533E3
4.586162656E1,1.000541809E3
4.590163365E1,1.000526672E3
4.594163073E1,1.000559448E3
4.598162307E1,1.000530396E3
4.602162573E1,1.000501648E3
4.606162594E1,1.000519775E3
4.610162917E1,1.000541809E3
4.614162354E1,1.000542419E3
4.618162958E1,1.000546204E3
4.622162812E1,1.000575073E3
4.626162375E1,1.000593994E3
4.630162766E1,1.000579468E3
4.634163740E1,1.000572937E3
4.638163500E1,1.000544006E3
4.642162448E1,1.000541016E3
4.646163146E1,1.000535095E3
4.650162948E1,1.000556030E3
4.654162156E1,1.000452454E3
4.658163531E1,1.000418091E3
4.662162614E1,1.000514465E3
4.666162312E1,1.000554138E3
4.670162583E1,1.000546692E3
4.674162698E1,1.000533997E3
4.678162396E1,1.000542419E3
4.682162125E1,1.000542908E3
4.686163531E1,1.000559021E3
4.690162271E1,1.000537781E3
4.694162448E1,1.000541687E3
4.698162115E1,1.000514954E3
4.702162490E1,1.000487427E3
4.706162969E1,1.000478882E3
4.710163385E1,1.000507935E3
4.714162349E1,1.000510132E3
4.718162240E1,1.000508362E3
4.722163114E1,1.000529663E3
4.726162354E1,1.000554138E3
4.730162021E1,1.000574768E3
