"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.215051319E0,-3.514099866E-2,2.888399921E-2,-8.898899704E-2
5.235095235E0,2.461099997E-2,2.690199949E-2,-1.230219975E-1
5.255139021E0,1.224540025E-1,-9.965000302E-2,-9.321299940E-2
5.275182957E0,7.000699639E-2,-7.810600102E-2,2.107499912E-2
5.295226962E0,-1.442119926E-1,-1.550399978E-2,1.466829926E-1
5.315270729E0,7.842200249E-2,-1.325410008E-1,2.456929982E-1
5.335314727E0,3.332599998E-2,-5.696500093E-2,1.518909931E-1
5.355358421E0,1.173999975E-3,5.591500178E-2,-2.422869951E-1
5.375402433E0,9.300699830E-2,8.246199787E-2,-1.899349988E-1
5.395446363E0,-1.573950052E-1,1.515190005E-1,9.243000299E-3
5.415490118E0,-1.942149997E-1,1.851029992E-1,1.950200088E-2
5.435534111E0,3.590000095E-3,8.512199670E-2,4.571399838E-2
5.455578041E0,-6.360500306E-2,4.258999974E-2,4.835800081E-2
5.475621801E0,3.539299965E-2,-5.957100168E-2,1.592050046E-1
5.495665731E0,1.830710024E-1,-1.652259976E-1,2.000869960E-1
5.515709488E0,3.343699872E-2,-6.763400137E-2,9.526000172E-2
5.535753486E0,1.035999972E-3,-3.816000000E-2,-1.076500025E-2
5.555797420E0,-2.471599914E-2,-2.823900059E-2,2.180940062E-1
5.575841190E0,-1.167239994E-1,2.123000100E-3,2.781729996E-1
5.595885188E0,-6.955300272E-2,5.852700025E-2,6.920000073E-3
5.615929099E0,2.614800073E-2,6.635700166E-2,-1.418090016E-1
5.635972868E0,-5.906999856E-2,9.151100367E-2,-2.330020070E-1
5.656016871E0,-1.116750017E-1,9.312999994E-2,-1.676360071E-1
5.676060796E0,1.854889989E-1,-6.034599990E-2,2.639500052E-2
5.696104537E0,8.528900146E-2,-6.151099876E-2,-5.483999848E-2
5.716148438E0,1.174890026E-1,-7.758399844E-2,5.694299936E-2
5.736192224E0,2.205120027E-1,-1.146930009E-1,1.626079977E-1
5.756236227E0,-7.261399925E-2,7.813000120E-3,2.407560050E-1
5.776280217E0,-1.021800004E-2,-4.569999874E-4,8.566799760E-2
5.796324152E0,-9.561699629E-2,4.555200040E-2,-1.669199951E-2
5.816367896E0,-2.366289943E-1,1.674799994E-2,2.256940007E-1
5.836411833E0,-1.631509960E-1,-5.498399958E-2,2.921409905E-1
5.856455833E0,-1.369709969E-1,8.279000409E-3,-8.098000288E-2
5.876499599E0,-5.940699950E-2,4.351599887E-2,-2.266319990E-1
5.896543505E0,1.873500086E-2,1.043699980E-1,-3.973760009E-1
5.916587251E0,2.570600063E-2,6.551700085E-2,-1.921409965E-1
5.936631187E0,7.981300354E-2,-1.650300063E-2,9.686999768E-2
5.956675183E0,4.472399876E-2,-1.266899984E-2,-2.476499975E-2
5.976719178E0,-1.059800014E-2,9.086900204E-2,-1.162910014E-1
5.996762872E0,2.354099974E-2,-4.660400003E-2,9.242799878E-2
6.016806880E0,9.689799696E-2,-1.242289990E-1,3.280180097E-1
6.036850665E0,1.496369988E-1,-1.116489992E-1,2.680259943E-1
6.056894644E0,4.269500077E-2,-1.053600013E-2,1.377039999E-1
6.076938554E0,1.883199997E-2,5.669400096E-2,9.453800321E-2
6.096982343E0,-5.259599909E-2,8.389399946E-2,1.505829990E-1
6.117026360E0,-9.271500260E-2,9.638399631E-2,1.554380059E-1
6.137070314E0,-7.704500109E-2,1.259689927E-1,-1.536599994E-1
6.157114083E0,6.883999705E-2,1.654000022E-3,-1.148530021E-1
6.177157999E0,8.644200116E-2,-8.713900298E-2,1.084889993E-1
6.197201985E0,5.132199824E-2,-7.918699831E-2,1.458259970E-1
6.217245766E0,4.724700004E-2,-5.815299973E-2,-1.671699993E-2
6.237289789E0,1.225799993E-1,-9.171000123E-2,1.300189942E-1
6.257333709E0,-8.506099880E-2,2.125000115E-3,2.635729909E-1
6.277377488E0,-8.320199698E-2,6.044200063E-2,5.411000177E-2
6.297421486E0,-9.332100302E-2,9.081400186E-2,1.616999973E-3
6.317465411E0,-1.257849932E-1,8.250799775E-2,-6.411600113E-2
6.337509176E0,-4.505999852E-3,1.300700009E-2,-8.786900342E-2
6.357553102E0,1.189749986E-1,-9.787900001E-2,4.676400125E-2
6.377597107E0,1.112359986E-1,-9.992299974E-2,4.508600011E-2
6.397640878E0,1.100139990E-1,-7.300099730E-2,2.696900070E-2
6.417684861E0,8.747400343E-2,-2.462900057E-2,-3.821099922E-2
6.437728767E0,-5.836899951E-2,6.494499743E-2,5.475199968E-2
6.457772536E0,-1.824299991E-2,4.971799999E-2,1.965029985E-1
6.477816529E0,-1.205120012E-1,7.880199701E-2,2.861439884E-1
6.497860460E0,-6.288599968E-2,9.789399803E-2,2.204100043E-1
6.517904243E0,-2.833300084E-2,8.496899903E-2,1.209449992E-1
6.537948232E0,-4.253200069E-2,2.057000063E-2,3.288590014E-1
6.557992157E0,1.578000025E-3,-5.616899952E-2,4.024870098E-1
6.578036159E0,2.432999946E-2,-4.106299952E-2,2.759250104E-1
6.598079916E0,-6.938699633E-2,-5.644999910E-3,1.695999992E-3
6.618123914E0,-6.693600118E-2,4.416099936E-2,-4.676000029E-2
6.638167820E0,-1.715639979E-1,9.004600346E-2,1.273850054E-1
6.658211809E0,8.563199639E-2,-7.875800133E-2,5.297030210E-1
6.678255560E0,1.391189992E-1,-2.186470032E-1,3.906039894E-1
6.698299481E0,-7.449000143E-3,-8.061199635E-2,2.463559955E-1
6.718343477E0,-2.001800016E-2,6.938199699E-2,-3.519799933E-2
6.738387262E0,-5.022900179E-2,1.582279950E-1,1.159499958E-2
6.758431250E0,-1.549880058E-1,1.946599931E-1,4.078440070E-1
6.778475245E0,-8.832900226E-2,1.438229978E-1,4.340449870E-1
6.798519176E0,3.465000167E-2,6.309600174E-2,2.269980013E-1
6.818562945E0,3.354400024E-2,-1.203600038E-2,4.219239950E-1
6.838606943E0,2.757200040E-2,-5.634799972E-2,5.223649740E-1
6.858650943E0,9.036300331E-2,-9.923599660E-2,6.165440083E-1
6.878694923E0,-2.621000074E-2,-3.253800049E-2,4.003289938E-1
6.898738833E0,-1.087400038E-2,-8.495000191E-3,3.457170129E-1
6.918782597E0,-4.341899976E-2,6.284499913E-2,2.311940044E-1
6.938826518E0,2.819999936E-4,8.833199739E-2,2.177080065E-1
6.958870505E0,-1.497029960E-1,7.908400148E-2,4.288539886E-1
6.978914510E0,4.081400111E-2,-4.844999872E-3,4.397979975E-1
6.998958285E0,-1.262750030E-1,7.429499924E-2,3.957119882E-1
7.019002298E0,-3.827999905E-2,7.287999988E-2,3.749159873E-1
7.039046317E0,-1.681599952E-2,2.974699996E-2,3.715870082E-1
7.059090242E0,1.074080020E-1,1.968800090E-2,3.974969983E-1
7.079134025E0,1.472399980E-1,8.346999995E-3,1.790789962E-1
7.099177994E0,8.954600245E-2,-5.592000205E-3,1.716469973E-1
7.119221990E0,-7.798700035E-2,3.805400059E-2,2.518459857E-1
7.139265901E0,-6.331999786E-3,3.162000095E-3,4.353590012E-1
7.159309665E0,-4.476400092E-2,-7.820000174E-4,5.805029869E-1
7.179353658E0,-7.560999691E-2,9.590000263E-4,4.890770018E-1
