"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.623158065E0,1.640399918E-2,-5.471799895E-2,8.656399697E-2
5.643201769E0,-4.356500134E-2,-3.270599991E-2,1.076909974E-1
5.663245428E0,-1.292600017E-2,-4.754399881E-2,1.265619993E-1
5.683289096E0,4.400000034E-4,-3.098499961E-2,8.812999725E-2
5.703332770E0,1.237099990E-2,1.712699980E-2,4.271000158E-3
5.723376462E0,2.216199972E-2,1.032999996E-2,-8.180099726E-2
5.743420150E0,2.236000029E-3,-1.341800019E-2,-1.234699972E-2
5.763463753E0,-1.241500024E-2,-2.027400024E-2,5.455899984E-2
5.783507443E0,1.678200066E-2,-2.590000071E-2,7.595100254E-2
5.803551203E0,9.634000249E-3,2.202199958E-2,-7.780999877E-3
5.823594830E0,1.262299996E-2,7.598999888E-3,-7.200000109E-4
5.843638524E0,3.517900035E-2,-2.455599979E-2,-9.369999752E-4
5.863682212E0,-2.078999998E-3,2.597099915E-2,2.775100060E-2
5.883725909E0,4.821500182E-2,3.766699880E-2,-8.214300126E-2
5.903769596E0,-1.303400006E-2,4.688600078E-2,1.134300046E-2
5.923813371E0,2.242100053E-2,-2.224699967E-2,2.313799970E-2
5.943856988E0,-4.699999990E-4,-3.299599886E-2,1.018040031E-1
5.963900689E0,-2.432000078E-2,-3.231500089E-2,1.397469938E-1
5.983944180E0,-1.037499961E-2,1.955199987E-2,1.015049964E-1
6.003987875E0,1.028999966E-2,4.014199972E-2,8.422000334E-3
6.024031558E0,1.839599945E-2,2.250999957E-2,-7.763899863E-2
6.044075241E0,8.426199853E-2,-8.128000423E-3,-5.582699925E-2
6.064118938E0,-5.518700182E-2,6.335499883E-2,-1.634809971E-1
6.084162630E0,2.796000103E-3,1.405199990E-2,-7.242599875E-2
6.104206322E0,-1.183899958E-2,-4.126000218E-3,1.348499954E-2
6.124250025E0,5.998000037E-3,1.851000078E-2,9.945499897E-2
6.144293702E0,5.551999900E-3,4.218199849E-2,2.748100087E-2
6.164337380E0,7.125200331E-2,-2.103199996E-2,1.396649927E-1
6.184381049E0,1.082199998E-2,-4.259999841E-3,1.823520064E-1
6.204424666E0,3.976999782E-3,1.872899942E-2,1.534859985E-1
6.224468370E0,-3.793599829E-2,-3.592999885E-3,6.759700179E-2
6.244512125E0,-3.626099974E-2,5.257099867E-2,-3.998399898E-2
6.264555742E0,-5.472999997E-3,-6.668000016E-3,9.652899951E-2
6.284599208E0,9.708999656E-3,-1.610600017E-2,1.133370027E-1
6.304643129E0,-5.944800004E-2,1.600000076E-2,-2.044099942E-2
6.324686828E0,-4.509000108E-3,2.309199981E-2,-1.109160036E-1
6.344730304E0,-1.523900032E-2,5.272199959E-2,-2.472549975E-1
6.364774009E0,2.941799909E-2,-7.371999789E-3,5.419600010E-2
6.384817711E0,-5.439000204E-3,-1.764300093E-2,1.926500052E-1
6.404861389E0,-1.308100019E-2,-1.372000016E-2,1.661659926E-1
6.424905086E0,2.831600048E-2,-8.414000273E-3,1.276309937E-1
6.444948769E0,-1.588699967E-2,1.732099988E-2,1.084190011E-1
6.464992476E0,-2.701500058E-2,-7.501999848E-3,7.760900259E-2
6.485036182E0,-1.290700026E-2,4.548399895E-2,-4.181199893E-2
6.505079899E0,-8.654999547E-3,3.661499918E-2,-2.699800022E-2
6.525123591E0,-3.776599839E-2,4.224799946E-2,-2.187100053E-2
6.545167278E0,2.442499995E-2,-3.672000021E-3,-6.243799999E-2
6.565210987E0,1.442200039E-2,-1.804799959E-2,-8.176299930E-2
6.585254584E0,-8.588000201E-3,-9.050000226E-4,4.980599880E-2
6.605298269E0,-2.357400022E-2,-3.204999957E-3,3.524599969E-2
6.625341953E0,-2.961999970E-3,-4.225400090E-2,6.375300139E-2
6.645385640E0,-1.860000007E-2,-4.424099997E-2,1.069200039E-2
6.665429328E0,-4.832000006E-3,-3.776099905E-2,1.299400032E-1
6.685473006E0,-2.638999932E-2,-3.819999984E-3,1.441799998E-1
6.705516673E0,-7.594000082E-3,-2.637599967E-2,5.313099921E-2
6.725560386E0,5.793000013E-2,-8.856000379E-3,6.259399652E-2
6.745604073E0,1.144200005E-2,4.563400149E-2,7.635999937E-3
6.765647779E0,-2.308199927E-2,7.391999941E-3,-3.262799978E-2
6.785691243E0,-3.361300007E-2,2.705300041E-2,-8.497899771E-2
6.805734928E0,4.333000164E-3,9.693999775E-3,-8.751100302E-2
6.825778841E0,3.203900158E-2,-3.692299873E-2,9.400799870E-2
6.845822291E0,4.264599830E-2,-3.729699925E-2,1.990379989E-1
6.865866212E0,3.233300149E-2,2.186699957E-2,-1.872099936E-2
6.885909890E0,3.841499984E-2,-1.460999949E-3,-1.358779967E-1
6.905953357E0,1.686299965E-2,-1.386700012E-2,-9.801799804E-2
6.925996803E0,-6.252000108E-3,-3.461899981E-2,-1.689100079E-2
6.946040496E0,-2.098499984E-2,-2.879600041E-2,5.951799825E-2
6.966084193E0,1.765399985E-2,5.750999786E-3,2.116899937E-2
6.986127904E0,-5.257000029E-2,-9.840000421E-3,1.826900057E-2
7.006171592E0,2.520000096E-3,-1.032480001E-1,2.265339941E-1
7.026215298E0,-5.977699906E-2,6.895700097E-2,1.130599994E-2
7.046258982E0,-3.970599920E-2,9.289699793E-2,-8.623299748E-2
7.066302599E0,4.975000024E-2,-7.555999793E-3,4.317000136E-2
7.086346366E0,-7.947999984E-3,-1.448599994E-2,1.817190051E-1
7.106390056E0,3.623799980E-2,-2.281400003E-2,1.408810019E-1
7.126433675E0,7.526000030E-3,3.673600033E-2,1.002810001E-1
7.146477375E0,1.505700033E-2,4.284700006E-2,-1.419200003E-2
7.166521159E0,-6.889000069E-3,3.168400005E-2,-1.148299966E-2
7.186564858E0,3.050200082E-2,-1.781300083E-2,-6.645999849E-3
7.206608468E0,2.060100064E-2,-2.839999972E-3,-6.627400219E-2
7.226652169E0,-1.444999943E-3,2.525999956E-2,-1.545179933E-1
7.246696110E0,2.647999907E-3,4.149400070E-2,-2.810310125E-1
7.266739803E0,-4.143799841E-2,-2.395600080E-2,-1.946180016E-1
7.286783490E0,-3.042799979E-2,-6.044200063E-2,-3.702700138E-2
7.306827168E0,4.409699887E-2,-8.651400357E-2,5.642000120E-3
7.326870656E0,-2.228599973E-2,-4.039699957E-2,-1.072679982E-1
7.346914360E0,-1.947399974E-2,-2.848700061E-2,-1.842299998E-1
7.366958302E0,3.755100071E-2,-3.321100026E-2,-7.201399654E-2
7.387001756E0,6.459899992E-2,-5.000299960E-2,-1.510600001E-1
7.407045418E0,-1.303900033E-2,5.903600156E-2,-3.542439938E-1
7.427089101E0,-1.045999955E-2,1.604899950E-2,-4.447149932E-1
7.447132793E0,-3.002900071E-2,7.098999806E-3,-2.747060061E-1
7.467176485E0,-2.144899964E-2,8.456000127E-3,-1.410650015E-1
7.487220202E0,4.776100069E-2,-1.355800033E-2,3.367999941E-2
7.507263879E0,-5.851999857E-3,3.663599864E-2,-9.791900218E-2
7.527307591E0,6.261900067E-2,-7.846999913E-3,-1.432670057E-1
7.547351284E0,2.134400047E-2,-2.300499938E-2,-1.648440063E-1
7.567394943E0,-7.631999906E-3,-4.255700111E-2,-2.079779953E-1
