"Time (s)","Pressure (hPa)"
8.753891166E1,9.976737061E2
8.757892411E1,9.976820068E2
8.761892005E1,9.976851196E2
8.765891109E1,9.976835327E2
8.769892583E1,9.976997681E2
8.773891234E1,9.976929321E2
8.777891067E1,9.976751099E2
8.781890958E1,9.976960449E2
8.785890208E1,9.976734009E2
8.789890349E1,9.976665039E2
8.793890875E1,9.976908569E2
8.797890713E1,9.976522827E2
8.801891859E1,9.976633911E2
8.805891172E1,9.976738281E2
8.809891224E1,9.976744995E2
8.813891026E1,9.976683960E2
8.817891974E1,9.976791382E2
8.821891916E1,9.976740112E2
8.825891703E1,9.976614990E2
8.829891213E1,9.976715088E2
8.833891474E1,9.976712036E2
8.837891682E1,9.976876221E2
8.841890890E1,9.976929321E2
8.845889458E1,9.976622925E2
8.849890359E1,9.976691895E2
8.853892625E1,9.976888428E2
8.857890932E1,9.976807251E2
8.861891869E1,9.976877441E2
8.865887859E1,9.976823120E2
8.869891463E1,9.976893311E2
8.873891151E1,9.976820068E2
8.877890328E1,9.976732178E2
8.881891234E1,9.976888428E2
8.885891515E1,9.976672974E2
8.889892005E1,9.976575928E2
8.893891547E1,9.976694946E2
8.897890890E1,9.976894531E2
8.901891619E1,9.976770020E2
8.905891666E1,9.976777344E2
8.909891317E1,9.976776123E2
8.913891682E1,9.976815186E2
8.917891119E1,9.976815186E2
8.921891849E1,9.976755981E2
8.925891265E1,9.976712036E2
8.929890807E1,9.976826172E2
8.933890963E1,9.976768188E2
8.937889208E1,9.976799316E2
8.941891172E1,9.976810303E2
8.945891463E1,9.976771240E2
8.949891140E1,9.976946411E2
8.953890416E1,9.976883545E2
8.957888755E1,9.976894531E2
8.961891083E1,9.976894531E2
8.965890244E1,9.976798096E2
8.969891713E1,9.976841431E2
8.973891401E1,9.977025757E2
8.977890557E1,9.976834106E2
8.981890708E1,9.976951294E2
8.985891172E1,9.976907349E2
8.989890526E1,9.976760254E2
8.993888041E1,9.976807251E2
8.997891432E1,9.976730957E2
9.001891125E1,9.976705933E2
9.005891776E1,9.976790161E2
