"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.965680059E1,4.300859564E1,-7.878528819E1,1.913808576E2,1.649999976E0,2.081000061E2,3.790092468E0,2.500000000E0
7.065715516E1,4.300858104E1,-7.878529774E1,1.911235094E2,1.590000033E0,2.051999969E2,3.790092468E0,2.500000000E0
7.165702084E1,4.300856618E1,-7.878530565E1,1.911510114E2,1.639999986E0,2.011000061E2,3.790092468E0,2.500000000E0
7.265622521E1,4.300855233E1,-7.878531360E1,1.915189693E2,1.600000024E0,2.003000031E2,3.790092468E0,2.500000000E0
7.365624677E1,4.300853827E1,-7.878531926E1,1.912226196E2,1.509999990E0,1.968000031E2,3.790092468E0,2.500000000E0
7.465623671E1,4.300852471E1,-7.878532288E1,1.905197762E2,1.509999990E0,1.931999969E2,3.790092468E0,2.500000000E0
7.565715150E1,4.300851060E1,-7.878532441E1,1.906785646E2,1.549999952E0,1.868999939E2,3.790092468E0,2.500000000E0
7.665624519E1,4.300849598E1,-7.878532377E1,1.905114238E2,1.570000052E0,1.818000031E2,3.790092468E0,2.500000000E0
7.765669227E1,4.300848089E1,-7.878532083E1,1.905762762E2,1.600000024E0,1.768000031E2,3.790092468E0,2.500000000E0
7.865695122E1,4.300846658E1,-7.878531584E1,1.900193033E2,1.470000029E0,1.706999969E2,3.790092468E0,2.500000000E0
7.965699945E1,4.300845253E1,-7.878530862E1,1.902618299E2,1.559999943E0,1.653000031E2,3.790092468E0,2.500000000E0
8.065703882E1,4.300843881E1,-7.878530088E1,1.902511831E2,1.539999962E0,1.626999969E2,3.790092468E0,2.500000000E0
8.165688814E1,4.300842552E1,-7.878529311E1,1.899030126E2,1.549999952E0,1.596999969E2,3.790092468E0,2.500000000E0
8.265631261E1,4.300841362E1,-7.878528431E1,1.899861188E2,1.490000010E0,1.566999969E2,3.790092468E0,2.500000000E0
8.365685490E1,4.300840282E1,-7.878527585E1,1.902925547E2,1.379999995E0,1.518000031E2,3.790092468E0,2.500000000E0
8.465660448E1,4.300839227E1,-7.878526571E1,1.903813393E2,1.509999990E0,1.468999939E2,3.790092468E0,2.500000000E0
